celebrity,almaMater
Tyra Banks,Immaculate Heart High School (Los Angeles)
Tyra Banks,Loyola Marymount University
Tércio Pacitti,University of California
U Myint,University of California
Udai Bhan Tewari,University of California
Ulrike Tillmann,Stanford University
Umesh Vazirani,University of California
Urs Hölzle,Stanford University
Utpal Banerjee,California Institute of Technology
V. Manuel Perez,University of California
Vaino Spencer,Los Angeles City College
Vaino Spencer,Southwestern Law School
Val Kilmer,Chatsworth High School
Val M. Runge,Stanford University
Val Murray Runge,Stanford University
Valerie Baker Fairbank,UCLA School of Law
Valerie Brandy,University of California
Valerie Hu,California Institute of Technology
Valerie Jarrett,Stanford University
Valerie Wailin Hu,California Institute of Technology
Valter D. Longo,University of California
Valter Longo,University of California
Vamsi K Mootha,Stanford University
Vamsi Mootha,Stanford University
Vance D. Brand,University of California
Vanessa Curry,Moreau Catholic High School
Vanessa Lee Chester,University of Southern California
Vanessa Southern,Stanford University
Vantile Whitfield,University of California
Vartan Gregorian,Stanford University
Vasco M. Tanner,Stanford University
Vaughan Pratt,Stanford University
Vaughn Walker,Stanford Law School
Vecdi Gönül,University of Southern California
Venkat Rangan,University of California
Venkatraman Ramakrishnan,University of California
Venki Ramakrishnan,University of California
Venky Harinarayan,Stanford University
Vera Kistiakowsky,University of California
Vern Ehlers,University of California
Verne Orr,Stanford University
Verne Orr,Claremont Graduate University
Verne Orr,Pomona College
"Vernon Dubois Penner, Jr.",Deep Springs College
Vernon Ehlers,University of California
Vernon L. Grose,University of Southern California
Vernon L. Smith,California Institute of Technology
Vi Simpson,California State University
Vicky Nguyen,University of San Francisco
Victor E. Velculescu,Stanford University
Victor Grinich,Stanford University
Victor J. Glover,Naval Postgraduate School
Victor J. Glover,California Polytechnic State University
Victor Jih,Stanford University
Victor Li,Stanford University
Victor Manuel Pérez,University of California
Victor Manuel Rivera,Church Divinity School of the Pacific
Victor Mitchell,San Diego State University
Victor Orsatti,University of Southern California
Victor Pineda,University of California
"Victor Santiago Pineda, PhD",University of California
Victor Soltero,California State University
Victor Tsao,Pepperdine University
Victor Velculescu,Stanford University
Victor Wouk,California Institute of Technology
Victoria Aveyard,University of Southern California
Victoria Hale,University of California
Victoria Kolakowski,Pacific School of Religion
Victoria Mixon,California Polytechnic State University
Vijay Vazirani,University of California
Vijayan N. Nair,University of California
Vijayan Nair,University of California
Vikram Amar,University of California
Vikram Chandra,Stanford University
Vikram D. Amar,University of California
Vikram Seth,Stanford University
Vinai K. Thummalapally,Occidental College
Vinai Thummalapally,Occidental College
Vince Chhabria,UC Berkeley School of Law
Vince Chhabria,University of California
Vince Ferraro,San Diego State University
Vince Girdhari Chhabria,UC Berkeley School of Law
Vince Girdhari Chhabria,University of California
Vincent Courtillot,Stanford University
Vincent E. Courtillot,Stanford University
Vincent Edward Price,Stanford University
Vincent Edward Price,Santa Clara University
Vincent Orange,University of the Pacific (United States)
Vincent Ostrom,University of California
Vincent Price,Stanford University
Vincent Price,Santa Clara University
Vinith Misra,Stanford University
Vinod Aggarwal,Stanford University
Vinod K. Aggarwal,Stanford University
Vint Cerf,Stanford University
Violeta Bulc,Golden Gate University
Virgil Griffith,California Institute of Technology
Virginia A. Phillips,UC Berkeley School of Law
Virginia A. Phillips,University of California
Virginia Christine,University of California
Virginia L. Linder,Southern Oregon University
Virginia Linder,Southern Oregon University
Virginia Patton,University of Southern California
Vish Narain,Stanford University
Vladimir Bukovsky,Stanford University
Vladimir Konstantinovich Bukovsky,Stanford University
W. Cleon Skousen,San Bernardino Valley College
W. Gilbert Strang,University of California
W. James Ware,Stanford Law School
W. James Ware,California Lutheran University
W. Michael Blumenthal,University of California
W. Niel Brandt,California Institute of Technology
W. W. Hansen,Stanford University
Wade G. Regehr,California Institute of Technology
Wade Regehr,California Institute of Technology
Wajahat Rauf,California State University
Waldo Rudolph Wedel,University of California
Waldo Wedel,University of California
Walid Juffali,University of San Diego
Wallace Tashima,University of California
Wally Herger,American River College
Wally Herger,California State University
Walt Brown,University of Southern California
Walt Dohrn,California Institute of the Arts
Walt Havenstein,Naval Postgraduate School
Walter A. Gordon,University of California
Walter A. Shewhart,University of California
Walter Carpeneti,Stanford University
Walter Carpeneti,UC Berkeley School of Law
Walter E. Williams,California State University
Walter John Stoessel,Stanford University
Walter John Stoessel Jr.,Stanford University
Walter Klenhard,University of California
Walter Koenig,University of California
Walter L. Carpeneti,Stanford University
Walter L. Carpeneti,UC Berkeley School of Law
Walter Murch,USC School of Cinematic Arts
Walter R. Evans,University of California
Walter de Heer,University of California
Ward Connerly,California State University
Warren Christopher,Stanford Law School
Warren Christopher,University of Southern California
Warren Gish,University of California
Warren Hinckle,University of San Francisco
Warren J. Ferguson,USC Gould School of Law
Warren J. Ferguson,University of Nevada
Warren John Ferguson,USC Gould School of Law
Warren John Ferguson,University of Nevada
Warren Richard Gish,University of California
Warren S. Warren,University of California
Warren W. Tichenor,University of Southern California
Wayne Edward Alley,Stanford University
Wayne Edward Alley,Stanford Law School
Wayne Fromm,University of Southern California
Wayne R. Grisham,University of Southern California
Wayne R. Grisham,Long Beach City College
Wayne R. Grisham,Whittier College
Wayne S. Vucinich,University of California
Weili Dai,University of California
Weinan E,University of California
Weldon B. Gibson,Stanford University
Wen Guohui,University of California
Wen-Tsuen Chen,University of California
Wendy Greuel,University of California
Wendy J. Olson,Stanford Law School
Wes Lucas,University of California
Wes W. Lucas,University of California
Wesley Chesbro,University of San Francisco
Wesley Duncan,University of California
Wesley Duncan,Columbia College (California)
Wesley Huntress,Stanford University
Wesley P. Chesbro,University of San Francisco
"Wesley T. Huntress, Jr.",Stanford University
Wheeler J. North,California Institute of Technology
Wheeler J. North,University of California
Wheeler James North,California Institute of Technology
Wheeler James North,University of California
Whit Johnson,San Francisco State University
Whitney Port,University of Southern California
Whitney Robson Harris,UC Berkeley School of Law
Whitny Braun,Loma Linda University
Whitny Braun,Claremont Graduate University
Wilfred Luer Von der Ahe,Loyola Marymount University
Wilfred Von der Ahe,Loyola Marymount University
Wilfried Schmid,University of California
Will Ferrell,University of Southern California
Will Forte,University of California
Will Rogers,Stanford University
Will Rogers Jr.,Stanford University
Will Yun Lee,University of California
Willard Joseph Chamberlin,Stanford University
Willard Libby,University of California
Willi Unsoeld,University of California
"William ""Billy"" Riggs",University of California
William A. Brock,University of California
William A. Collins,Stanford University
William A. Goddard,Occidental College
William Albert Norris,Stanford Law School
